chain_symbol_path	verdict	reason	absorbed_terms_with_tags
D.D.D.D	reject	mumuy 逐女性節點疊「外」之機器合成形(外曾外曾外孙女);本系統採語料庫首位+遲位雙槽慣例(外玄孫女)
D.D.D.D.SP	reject	同 D.D.D.D:疊外合成形不採信,配偶閉包不改動外字槽位
D.D.D.S	reject	同 D.D.D.D
D.D.D.S.SP	reject	同 D.D.D.D
D.D.S.D	reject	mumuy 疊外合成形(外曾外曾孙女);中位過女點依雙槽慣例不標
D.D.S.D.SP	reject	同 D.D.S.D
D.D.S.S	reject	同 D.D.S.D
D.D.S.S.SP	reject	同 D.D.S.D
S.D.D.D	reject	mumuy 疊外合成形(曾外曾外孙女);本系統遲位單標(玄外孫女)
S.D.D.D.SP	reject	同 S.D.D.D
S.D.D.S	reject	同 S.D.D.D
S.D.D.S.SP	reject	同 S.D.D.D
S.D.S.D	reject	mumuy 疊外合成形(曾外曾孙女);中位過女點依雙槽慣例不標(玄孫女)
S.D.S.D.SP	reject	同 S.D.S.D
S.D.S.S	reject	同 S.D.S.D
S.D.S.S.SP	reject	同 S.D.S.D
S.S.S.S.S.S.S.D.D	reject	爾雅世代階梯止於雲孫(8代);「耳孫」古籍為遠孫泛稱非精確第9代;本系統以 N代孫 有界回退	耳孙(泛稱;literary)
S.S.S.S.S.S.S.D.D.SP	reject	同上:偽階梯不採信
S.S.S.S.S.S.S.D.S	reject	同上	耳孙(泛稱;literary)
S.S.S.S.S.S.S.D.S.SP	reject	同上
S.S.S.S.S.S.S.S.D	reject	同上	耳孙(泛稱;literary)
S.S.S.S.S.S.S.S.D.D	reject	「彌孫」為後造延伸,無經典依據;彌甥(姊妹之孫)另有其位
S.S.S.S.S.S.S.S.D.D.SP	reject	同上
S.S.S.S.S.S.S.S.D.S	reject	同上
S.S.S.S.S.S.S.S.D.S.SP	reject	同上
S.S.S.S.S.S.S.S.D.SP	reject	耳孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.D	reject	彌孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.D.D	reject	「胎孫」為後造延伸,無經典依據
S.S.S.S.S.S.S.S.S.D.D.SP	reject	同上
S.S.S.S.S.S.S.S.S.D.S	reject	同上
S.S.S.S.S.S.S.S.S.D.S.SP	reject	同上
S.S.S.S.S.S.S.S.S.D.SP	reject	彌孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.S.D	reject	胎孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.S.D.D	reject	「承孫」為後造延伸,無經典依據
S.S.S.S.S.S.S.S.S.S.D.D.SP	reject	同上
S.S.S.S.S.S.S.S.S.S.D.S	reject	同上
S.S.S.S.S.S.S.S.S.S.D.S.SP	reject	同上
S.S.S.S.S.S.S.S.S.S.D.SP	reject	胎孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.S.S.D	reject	承孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.S.S.D.SP	reject	同上
S.S.S.S.S.S.S.S.S.S.S.S.SP	reject	同上
S.S.S.S.S.S.S.S.S.S.S.SP	reject	胎孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.S.SP	reject	彌孫系偽階梯不採信
S.S.S.S.S.S.S.S.S.SP	reject	耳孫系偽階梯不採信
D.SP.F.F	absorb	傳統姻誼書面稱謂體系(禮帖層);本系統輸出描述回退,詞條收編掛牌	姻伯(literary;liter-greeting)|姻叔(literary;liter-greeting)
D.SP.OB.D	absorb	姻誼書面體系收編	姻侄孙女(literary;liter-greeting)
D.SP.OB.S	absorb	姻誼書面體系收編	姻侄孙(literary;liter-greeting)
D.SP.OB.SP	absorb	姻誼書面體系收編	姻侄媳(literary;liter-greeting)
D.SP.OS.D	absorb	姻誼書面體系收編	姻侄外孙女(literary;liter-greeting)
D.SP.OS.S	absorb	姻誼書面體系收編	姻侄外孙(literary;liter-greeting)
D.SP.OS.SP	absorb	姻誼書面體系收編	姻侄婿(literary;liter-greeting)
D.SP.YB.D	absorb	姻誼書面體系收編	姻侄孙女(literary;liter-greeting)
D.SP.YB.S	absorb	姻誼書面體系收編	姻侄孙(literary;liter-greeting)
